standard_type,age_group,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
age_group,10 & under,girls,50,fr,1,scy,39.79,35.99,32.09,30.89,29.59,28.29
age_group,10 & under,girls,100,fr,1,scy,90.79,81.09,71.49,68.29,64.99,61.79
age_group,10 & under,girls,200,fr,1,scy,202.79,180.59,158.39,150.99,143.59,136.19
age_group,10 & under,girls,500,fr,1,scy,516.69,465.09,413.39,396.19,378.99,361.69
age_group,10 & under,girls,50,bk,2,scy,48.59,43.29,37.99,36.19,34.39,32.59
age_group,10 & under,girls,100,bk,2,scy,105.79,93.99,82.29,78.39,74.49,70.59
age_group,10 & under,girls,50,br,3,scy,54.59,48.69,42.79,40.89,38.89,36.89
age_group,10 & under,girls,100,br,3,scy,120.29,106.89,93.59,89.09,84.69,80.19
age_group,10 & under,girls,50,fl,4,scy,48.39,42.69,36.99,35.09,33.19,31.29
age_group,10 & under,girls,100,fl,4,scy,116.69,101.39,86.09,80.99,75.99,70.89
age_group,10 & under,girls,100,im,5,scy,104.29,93.19,82.09,78.39,74.69,70.99
age_group,10 & under,girls,200,im,5,scy,222.09,198.79,175.49,167.69,159.99,152.19
age_group,10 & under,girls,200,fr-r,6,scy,173.19,155.89,138.59,132.79,126.99,121.19
age_group,10 & under,girls,200,med-r,7,scy,194.99,175.49,155.99,149.49,142.99,136.49
age_group,10 & under,boys,50,fr,1,scy,38.19,34.59,31.09,29.89,28.69,27.49
age_group,10 & under,boys,100,fr,1,scy,87.99,78.89,69.79,66.79,63.79,60.69
age_group,10 & under,boys,200,fr,1,scy,189.49,170.59,151.59,145.29,138.99,132.69
age_group,10 & under,boys,500,fr,1,scy,504.29,453.79,403.39,386.59,369.79,352.99
age_group,10 & under,boys,50,bk,2,scy,48.29,42.89,37.59,35.79,33.99,32.19
age_group,10 & under,boys,100,bk,2,scy,100.69,90.09,79.59,76.09,72.49,68.99
age_group,10 & under,boys,50,br,3,scy,53.39,47.69,42.09,40.19,38.29,36.39
age_group,10 & under,boys,100,br,3,scy,114.09,102.29,90.59,86.59,82.69,78.79
age_group,10 & under,boys,50,fl,4,scy,46.49,41.29,35.99,34.29,32.59,30.79
age_group,10 & under,boys,100,fl,4,scy,113.49,98.99,84.39,79.49,74.59,69.79
age_group,10 & under,boys,100,im,5,scy,99.69,89.69,79.69,76.39,73.09,69.79
age_group,10 & under,boys,200,im,5,scy,218.59,195.99,173.49,165.89,158.39,150.89
age_group,10 & under,boys,200,fr-r,6,scy,171.69,154.49,137.29,131.59,125.89,120.19
