Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10 & under,Girls,50 FR,LCM,45.29,40.89,36.59,35.09,33.69,32.19
10 & under,Girls,100 FR,LCM,104.09,92.99,81.89,78.19,74.49,70.79
10 & under,Girls,200 FR,LCM,230.99,205.69,180.39,171.99,163.49,155.09
10 & under,Girls,400 FR,LCM,468.59,421.69,374.89,359.29,343.69,327.99
10 & under,Girls,50 BK,LCM,55.79,49.69,43.59,41.59,39.49,37.49
10 & under,Girls,100 BK,LCM,121.59,108.09,94.59,90.09,85.59,81.09
10 & under,Girls,50 BR,LCM,62.19,55.49,48.79,46.49,44.29,42.09
10 & under,Girls,100 BR,LCM,139.39,123.89,108.39,103.29,98.09,92.99
10 & under,Girls,50 FL,LCM,54.49,48.09,41.59,39.49,37.29,35.19
10 & under,Girls,100 FL,LCM,132.79,115.39,97.99,92.19,86.39,80.59
10 & under,Girls,200 IM,LCM,255.69,228.89,202.09,193.09,184.19,175.29
10 & under,Girls,200 FR-R,LCM,197.49,177.79,157.99,151.39,144.79,138.29
10 & under,Girls,200 MED-R,LCM,223.59,201.19,178.89,171.39,163.99,156.49
10 & under,Boys,50 FR,LCM,31.59,32.99,34.39,35.69,39.79,43.89
10 & under,Boys,100 FR,LCM,69.79,73.19,76.69,80.19,90.59,100.99
10 & under,Boys,200 FR,LCM,151.69,158.89,166.09,173.39,194.99,216.69
10 & under,Boys,400 FR,LCM,320.79,336.09,351.39,366.59,412.49,458.29
10 & under,Boys,50 BK,LCM,36.99,38.99,41.09,43.09,49.29,55.39
10 & under,Boys,100 BK,LCM,79.99,84.09,88.19,92.29,104.49,116.69
10 & under,Boys,50 BR,LCM,41.49,43.59,45.79,47.89,54.39,60.89
10 & under,Boys,100 BR,LCM,91.69,96.29,100.89,105.49,119.19,132.89
10 & under,Boys,50 FL,LCM,34.69,36.59,38.59,40.59,46.39,52.29
10 & under,Boys,100 FL,LCM,79.59,85.09,90.69,96.19,112.89,129.49
10 & under,Boys,200 IM,LCM,172.19,180.79,189.39,197.89,223.69,249.49
10 & under,Boys,200 FR-R,LCM,137.19,143.69,150.19,156.79,176.39,195.89
10 & under,Boys,200 MED-R,LCM,157.59,165.09,172.59,180.09,202.59,225.09
11-12,Girls,50 FR,LCM,38.49,35.89,33.19,31.89,30.49,29.19
11-12,Girls,100 FR,LCM,85.59,79.49,73.39,70.29,67.19,64.19
11-12,Girls,200 FR,LCM,186.39,173.09,159.79,153.09,146.49,139.79
11-12,Girls,400 FR,LCM,392.89,364.79,336.79,322.79,308.69,294.69
