Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10 & under,Girls,50 FR,SCY,39.79,35.99,32.09,30.89,29.59,28.29
10 & under,Girls,100 FR,SCY,90.79,81.09,71.49,68.29,64.99,61.79
10 & under,Girls,200 FR,SCY,202.79,180.59,158.39,150.99,143.59,136.19
10 & under,Girls,500 FR,SCY,516.69,465.09,413.39,396.19,378.99,361.69
10 & under,Girls,50 BK,SCY,48.59,43.29,37.99,36.19,34.39,32.59
10 & under,Girls,100 BK,SCY,105.79,93.99,82.29,78.39,74.49,70.59
10 & under,Girls,50 BR,SCY,54.59,48.69,42.79,40.89,38.89,36.89
10 & under,Girls,100 BR,SCY,120.29,106.89,93.59,89.09,84.69,80.19
10 & under,Girls,50 FL,SCY,48.39,42.69,36.99,35.09,33.19,31.29
10 & under,Girls,100 FL,SCY,116.69,101.39,86.09,80.99,75.99,70.89
10 & under,Girls,100 IM,SCY,104.29,93.19,82.09,78.39,74.69,70.99
10 & under,Girls,200 IM,SCY,222.09,198.79,175.49,167.69,159.99,152.19
10 & under,Girls,200 FR-R,SCY,173.19,155.89,138.59,132.79,126.99,121.19
10 & under,Girls,200 MED-R,SCY,194.99,175.49,155.99,149.49,142.99,136.49
10 & under,Boys,50 FR,SCY,27.49,28.69,29.89,31.09,34.59,38.19
10 & under,Boys,100 FR,SCY,60.69,63.79,66.79,69.79,78.89,87.99
10 & under,Boys,200 FR,SCY,132.69,138.99,145.29,151.59,170.59,189.49
10 & under,Boys,500 FR,SCY,352.99,369.79,386.59,403.39,453.79,504.29
10 & under,Boys,50 BK,SCY,32.19,33.99,35.79,37.59,42.89,48.29
10 & under,Boys,100 BK,SCY,68.99,72.49,76.09,79.59,90.09,100.69
10 & under,Boys,50 BR,SCY,36.39,38.29,40.19,42.09,47.69,53.39
10 & under,Boys,100 BR,SCY,78.79,82.69,86.59,90.59,102.29,114.09
10 & under,Boys,50 FL,SCY,30.79,32.59,34.29,35.99,41.29,46.49
10 & under,Boys,100 FL,SCY,69.79,74.59,79.49,84.39,98.99,113.49
10 & under,Boys,100 IM,SCY,69.79,73.09,76.39,79.69,89.69,99.69
10 & under,Boys,200 IM,SCY,150.89,158.39,165.89,173.49,195.99,218.59
10 & under,Boys,200 FR-R,SCY,120.19,125.89,131.59,137.29,154.49,171.69
10 & under,Boys,200 MED-R,SCY,135.39,141.79,148.29,154.69,173.99,193.39
11-12,Girls,50 FR,SCY,33.99,31.69,29.29,28.09,26.99,25.79
