Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
17-18,Boys,50 FR,SCM,22.79,23.89,24.99,26.09,28.29,30.39
17-18,Boys,100 FR,SCM,49.99,52.39,54.79,57.19,1:01.89,1:06.69
17-18,Boys,200 FR,SCM,1:50.69,1:55.99,2:01.29,2:06.49,2:17.09,2:27.59
17-18,Boys,400 FR,SCM,3:58.39,4:09.69,4:21.09,4:32.39,4:55.09,5:17.79
17-18,Boys,800 FR,SCM,8:18.89,8:42.69,9:06.39,9:30.19,10:17.69,11:05.19
17-18,Boys,1500 FR,SCM,15:46.09,16:31.09,17:16.19,18:01.19,19:31.29,21:01.39
17-18,Boys,100 BK,SCM,54.09,56.59,59.19,1:01.79,1:10.69,1:16.59,1:22.49
17-18,Boys,200 BK,SCM,1:59.29,2:04.89,2:10.59,2:16.29,2:27.59,2:38.99
17-18,Boys,100 BR,SCM,1:01.89,1:04.89,1:07.79,1:10.69,1:16.59,1:22.49
17-18,Boys,200 BR,SCM,2:14.49,2:20.89,2:27.29,2:33.69,2:46.49,2:59.29
17-18,Boys,100 FL,SCM,54.19,56.79,59.39,1:01.99,1:07.09,1:12.29
17-18,Boys,200 FL,SCM,2:01.39,2:07.09,2:12.89,2:18.69,2:30.19,2:41.79
17-18,Boys,200 IM,SCM,2:02.19,2:07.99,2:13.79,2:19.59,2:31.29,2:42.89
17-18,Boys,400 IM,SCM,4:22.99,4:35.49,4:48.09,5:00.59,5:25.59,5:50.69
17-18,Boys,200 FR-R,SCM,1:35.79,1:40.29,1:44.89,1:49.49,1:58.59,2:07.69
17-18,Boys,400 FR-R,SCM,3:30.29,3:40.39,3:50.39,4:00.39,4:20.39,4:40.39
17-18,Boys,800 FR-R,SCM,7:47.39,8:09.59,8:31.89,8:54.09,9:38.59,10:23.09
17-18,Boys,200 MED-R,SCM,1:44.59,1:49.59,1:54.59,1:59.59,2:09.49,2:19.49
17-18,Boys,400 MED-R,SCM,3:49.39,4:00.39,4:11.29,4:22.19,4:44.09,5:05.89
