Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10 & under,Girls,50 FR,SCM,43.99,39.79,35.49,34.09,32.69,31.29
10 & under,Girls,100 FR,SCM,100.29,89.69,78.99,75.39,71.89,68.29
10 & under,Girls,200 FR,SCM,223.99,199.49,174.99,166.79,158.59,150.39
10 & under,Girls,400 FR,SCM,452.19,406.89,361.69,346.69,331.59,316.49
10 & under,Girls,50 BK,SCM,53.69,47.79,41.89,39.99,37.99,36.09
10 & under,Girls,100 BK,SCM,116.89,103.89,90.89,86.59,82.29,77.99
10 & under,Girls,50 BR,SCM,60.29,53.79,47.29,45.09,42.99,40.79
10 & under,Girls,100 BR,SCM,132.89,118.19,103.39,98.49,93.59,88.69
10 & under,Girls,50 FL,SCM,53.49,47.19,40.89,38.79,36.69,34.59
10 & under,Girls,100 FL,SCM,128.89,112.09,95.19,89.49,83.89,78.29
10 & under,Girls,100 IM,SCM,115.19,102.99,90.69,86.59,82.49,78.39
10 & under,Girls,200 IM,SCM,245.39,219.59,193.89,185.29,176.79,168.19
10 & under,Girls,200 FR-R,SCM,191.39,172.19,153.09,146.69,140.29,133.99
10 & under,Girls,200 MED-R,SCM,215.49,193.89,172.39,165.19,157.99,150.79
10 & under,Boys,50 FR,SCM,30.39,31.69,32.99,34.29,38.19,42.19
10 & under,Boys,100 FR,SCM,67.09,70.39,73.79,77.09,87.19,97.19
10 & under,Boys,200 FR,SCM,146.59,153.59,160.59,167.49,188.49,209.39
10 & under,Boys,400 FR,SCM,308.89,323.59,338.29,352.99,397.09,441.19
10 & under,Boys,50 BK,SCM,35.59,37.59,39.59,41.49,47.39,53.39
10 & under,Boys,100 BK,SCM,76.29,80.09,83.99,87.89,99.59,111.19
10 & under,Boys,50 BR,SCM,40.19,42.29,44.39,46.49,52.79,58.99
10 & under,Boys,100 BR,SCM,86.99,91.39,95.69,100.09,113.09,126.09
10 & under,Boys,50 FL,SCM,33.99,35.99,37.89,39.79,45.59,51.39
10 & under,Boys,100 FL,SCM,77.09,82.49,87.79,93.19,109.29,125.49
10 & under,Boys,100 IM,SCM,77.09,80.79,84.39,88.09,99.09,110.09
10 & under,Boys,200 IM,SCM,166.69,175.09,183.39,191.69,216.59,241.59
10 & under,Boys,200 FR-R,SCM,132.79,139.09,145.39,151.69,170.69,189.69
10 & under,Boys,200 MED-R,SCM,149.59,156.69,163.79,170.89,192.29,213.69
11-12,Girls,50 FR,SCM,37.59,34.99,32.39,31.09,29.79,28.49
11-12,Girls,100 FR,SCM,82.49,76.59,70.69,67.79,64.89,61.89
11-12,Girls,200 FR,SCM,179.59,166.79,153.99,147.59,141.09,134.69
11-12,Girls,400 FR,SCM,382.29,354.99,327.69,314.09,300.39,286.79
11-12,Girls,800 FR,SCM,789.89,733.49,676.99,648.79,620.59,592.39
11-12,Girls,1500 FR,SCM,1498.39,1391.29,1284.29,1230.79,1177.29,1123.79
11-12,Girls,50 BK,SCM,42.79,39.79,36.69,35.19,33.59,32.09
11-12,Girls,100 BK,SCM,95.69,88.19,80.59,76.89,73.09,69.29
11-12,Girls,200 BK,SCM,198.29,184.19,169.99,162.89,155.79,148.79
11-12,Girls,50 BR,SCM,48.59,45.19,41.69,39.89,38.19,36.49
11-12,Girls,100 BR,SCM,106.59,98.69,90.79,86.89,82.99,78.99
11-12,Girls,200 BR,SCM,227.29,211.09,194.89,186.69,178.59,170.49
11-12,Girls,50 FL,SCM,40.79,37.79,34.89,33.49,31.99,30.59
11-12,Girls,100 FL,SCM,94.79,87.19,79.59,75.79,72.09,68.29
11-12,Girls,200 FL,SCM,202.59,188.19,173.69,166.49,159.19,151.99
11-12,Girls,100 IM,SCM,94.19,87.49,80.69,77.39,73.99,70.59
11-12,Girls,200 IM,SCM,203.19,188.69,174.19,166.89,159.59,152.39
11-12,Girls,400 IM,SCM,432.79,401.89,370.99,355.59,340.09,324.59
11-12,Girls,200 FR-R,SCM,159.89,148.49,137.09,131.39,125.69,119.99
11-12,Girls,400 FR-R,SCM,351.59,326.39,301.29,288.79,276.19,263.69
11-12,Girls,200 MED-R,SCM,178.09,165.39,152.69,146.29,139.89,133.59
11-12,Girls,400 MED-R,SCM,390.59,362.69,334.79,320.89,306.89,292.99
11-12,Boys,50 FR,SCM,27.19,28.49,29.79,31.09,33.69,36.29
11-12,Boys,100 FR,SCM,59.19,62.09,64.89,67.69,73.29,78.99
11-12,Boys,200 FR,SCM,129.29,135.49,141.59,147.79,160.09,172.39
11-12,Boys,400 FR,SCM,275.59,288.69,301.79,314.99,341.19,367.49
11-12,Boys,800 FR,SCM,579.79,607.39,634.99,662.59,717.89,773.09
11-12,Boys,1500 FR,SCM,1094.19,1146.29,1198.39,1250.49,1354.69,1458.89
11-12,Boys,50 BK,SCM,31.19,32.79,34.49,36.09,39.29,42.59
11-12,Boys,100 BK,SCM,65.79,69.39,72.89,76.49,83.69,90.79
11-12,Boys,200 BK,SCM,143.29,150.09,156.89,163.69,177.39,190.99
11-12,Boys,50 BR,SCM,34.89,36.69,38.59,40.49,44.29,48.09
11-12,Boys,100 BR,SCM,74.99,78.89,82.79,86.69,94.49,102.29
11-12,Boys,200 BR,SCM,162.79,170.59,178.29,186.09,201.59,217.09
11-12,Boys,50 FL,SCM,29.59,31.19,32.79,34.49,37.69,40.99
11-12,Boys,100 FL,SCM,65.29,68.99,72.79,76.49,84.09,91.59
11-12,Boys,200 FL,SCM,146.29,153.29,160.29,167.19,181.19,195.09
11-12,Boys,100 IM,SCM,67.49,70.69,73.99,77.29,83.89,90.49
11-12,Boys,200 IM,SCM,145.99,153.39,160.89,168.29,183.19,198.09
11-12,Boys,400 IM,SCM,312.49,327.39,342.29,357.19,386.89,416.69
11-12,Boys,200 FR-R,SCM,115.29,120.79,126.29,131.79,142.79,153.69
11-12,Boys,400 FR-R,SCM,254.19,266.29,278.39,290.49,314.69,338.99
11-12,Boys,200 MED-R,SCM,127.79,133.79,139.89,145.99,158.19,170.29
11-12,Boys,400 MED-R,SCM,281.59,294.99,308.39,321.79,348.59,375.39
13-14,Girls,50 FR,SCM,35.99,33.39,30.79,29.49,28.29,26.99
13-14,Girls,100 FR,SCM,78.49,72.89,67.29,64.49,61.69,58.89
13-14,Girls,200 FR,SCM,169.79,157.69,145.49,139.49,133.39,127.29
13-14,Girls,400 FR,SCM,360.69,334.99,309.19,296.29,283.39,270.59
13-14,Girls,800 FR,SCM,744.69,691.49,638.29,611.69,585.09,558.49
13-14,Girls,1500 FR,SCM,1414.29,1313.29,1212.29,1161.79,1111.29,1060.79
13-14,Girls,50 BK,SCM,39.99,37.19,34.29,32.89,31.49,29.99
13-14,Girls,100 BK,SCM,84.99,78.89,72.89,69.79,66.79,63.79
13-14,Girls,200 BK,SCM,183.89,170.69,157.59,150.99,144.49,137.89
13-14,Girls,50 BR,SCM,46.49,43.19,39.89,38.19,36.49,34.89
13-14,Girls,100 BR,SCM,97.99,90.99,83.99,80.49,76.99,73.49
13-14,Girls,200 BR,SCM,211.09,195.99,180.89,173.39,165.89,158.29
13-14,Girls,50 FL,SCM,39.59,36.79,33.89,32.49,31.09,29.69
13-14,Girls,100 FL,SCM,84.89,78.79,72.79,69.69,66.69,63.69
13-14,Girls,200 FL,SCM,189.19,175.69,162.19,155.39,148.59,141.89
13-14,Girls,200 IM,SCM,189.79,176.19,162.69,155.89,149.09,142.39
13-14,Girls,400 IM,SCM,404.19,375.29,346.39,331.99,317.59,303.09
13-14,Girls,200 FR-R,SCM,150.59,139.89,129.09,123.69,118.39,112.99
13-14,Girls,400 FR-R,SCM,328.49,304.99,281.59,269.79,258.09,246.39
13-14,Girls,800 FR-R,SCM,717.29,666.09,614.89,589.19,563.59,537.99
13-14,Girls,200 MED-R,SCM,165.59,153.79,141.89,135.99,130.09,124.19
13-14,Girls,400 MED-R,SCM,361.29,335.49,309.69,296.79,283.89,270.99
13-14,Boys,50 FR,SCM,24.79,25.89,27.09,28.29,30.69,32.99
13-14,Boys,100 FR,SCM,53.89,56.39,58.99,61.49,66.69,71.79
13-14,Boys,200 FR,SCM,118.09,123.69,129.39,134.99,146.19,157.49
13-14,Boys,400 FR,SCM,253.19,265.19,277.29,289.29,313.39,337.49
13-14,Boys,800 FR,SCM,523.69,548.59,573.59,598.49,648.39,698.19
13-14,Boys,1500 FR,SCM,1001.19,1048.79,1096.49,1144.19,1239.49,1334.89
13-14,Boys,50 BK,SCM,27.89,29.19,30.59,31.89,34.59,37.19
13-14,Boys,100 BK,SCM,59.09,61.89,64.69,67.49,73.09,78.79
13-14,Boys,200 BK,SCM,128.19,134.29,140.39,146.49,158.69,170.99
13-14,Boys,50 BR,SCM,31.99,33.49,34.99,36.49,39.59,42.59
13-14,Boys,100 BR,SCM,66.79,69.89,73.09,76.29,82.59,88.99
13-14,Boys,200 BR,SCM,144.89,151.79,158.69,165.59,179.39,193.19
13-14,Boys,50 FL,SCM,27.49,28.79,30.09,31.39,33.99,36.59
13-14,Boys,100 FL,SCM,58.39,61.19,63.99,66.79,72.29,77.89
13-14,Boys,200 FL,SCM,129.99,136.19,142.39,148.49,160.89,173.29
13-14,Boys,200 IM,SCM,130.89,137.09,143.39,149.59,162.09,174.49
13-14,Boys,400 IM,SCM,279.89,293.19,306.49,319.89,346.49,373.19
13-14,Boys,200 FR-R,SCM,103.59,108.49,113.39,118.39,128.19,138.09
13-14,Boys,400 FR-R,SCM,226.39,237.19,247.89,258.69,280.29,301.79
13-14,Boys,800 FR-R,SCM,500.89,524.69,548.59,572.39,620.09,667.79
13-14,Boys,200 MED-R,SCM,114.59,119.99,125.49,130.89,141.79,152.69
13-14,Boys,400 MED-R,SCM,247.99,259.89,271.69,283.49,307.09,330.69
15-16,Girls,50 FR,SCM,35.09,32.59,30.09,28.89,27.59,26.39
15-16,Girls,100 FR,SCM,75.99,70.49,65.09,62.39,59.69,56.99
15-16,Girls,200 FR,SCM,164.69,152.89,141.19,135.29,129.39,123.49
15-16,Girls,400 FR,SCM,350.89,325.79,300.79,288.19,275.69,263.19
15-16,Girls,800 FR,SCM,728.79,676.79,624.69,598.69,572.69,546.59
15-16,Girls,1500 FR,SCM,1387.49,1288.39,1189.29,1139.79,1090.19,1040.69
15-16,Girls,100 BK,SCM,82.59,76.69,70.79,67.79,64.89,61.99
15-16,Girls,200 BK,SCM,179.29,166.49,153.69,147.29,140.89,134.49
15-16,Girls,100 BR,SCM,94.99,88.19,81.39,77.99,74.59,71.19
15-16,Girls,200 BR,SCM,205.49,190.89,176.19,168.79,161.49,154.19
15-16,Girls,100 FL,SCM,82.19,76.29,70.39,67.49,64.59,61.59
15-16,Girls,200 FL,SCM,183.19,170.09,157.09,150.49,143.99,137.39
15-16,Girls,200 IM,SCM,183.59,170.49,157.39,150.79,144.29,137.69
15-16,Girls,400 IM,SCM,392.29,364.29,336.29,322.29,308.19,294.19
15-16,Girls,200 FR-R,SCM,149.39,138.79,128.09,122.79,117.39,112.09
15-16,Girls,400 FR-R,SCM,325.89,302.59,279.29,267.69,255.99,244.39
15-16,Girls,800 FR-R,SCM,715.79,664.69,613.59,587.99,562.49,536.89
15-16,Girls,200 MED-R,SCM,163.59,151.99,140.29,134.39,128.59,122.69
15-16,Girls,400 MED-R,SCM,357.19,331.69,306.19,293.39,280.69,267.89
15-16,Boys,50 FR,SCM,23.39,24.59,25.69,26.79,28.99,31.19
