Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10 & under,Girls,50 FR,SCM,43.99,39.79,35.49,34.09,32.69,31.29
10 & under,Girls,100 FR,SCM,1:40.29,1:29.69,1:18.99,1:15.39,1:11.89,1:08.29
10 & under,Girls,200 FR,SCM,3:43.99,3:19.49,2:54.99,2:46.79,2:38.59,2:30.39
10 & under,Girls,400 FR,SCM,7:32.19,6:46.89,6:01.69,5:46.69,5:31.59,5:16.49
10 & under,Girls,50 BK,SCM,53.69,47.79,41.89,39.99,37.99,36.09
10 & under,Girls,100 BK,SCM,1:56.89,1:43.89,1:30.89,1:26.59,1:22.29,1:17.99
10 & under,Girls,50 BR,SCM,1:00.29,53.79,47.29,45.09,42.99,40.79
10 & under,Girls,100 BR,SCM,2:12.89,1:58.19,1:43.39,1:38.49,1:33.59,1:28.69
10 & under,Girls,50 FL,SCM,53.49,47.19,40.89,38.79,36.69,34.59
10 & under,Girls,100 FL,SCM,2:08.89,1:52.09,1:35.19,1:29.49,1:23.89,1:18.29
10 & under,Girls,100 IM,SCM,1:55.19,1:42.99,1:30.69,1:26.59,1:22.49,1:18.39
10 & under,Girls,200 IM,SCM,4:05.39,3:39.59,3:13.89,3:05.29,2:56.79,2:48.19
10 & under,Girls,200 FR-R,SCM,3:11.39,2:52.19,2:33.09,2:26.69,2:20.29,2:13.99
10 & under,Girls,200 MED-R,SCM,3:35.49,3:13.89,2:52.39,2:45.19,2:37.99,2:30.79
10 & under,Boys,50 FR,SCM,30.39,31.69,32.99,34.29,38.19,42.19
10 & under,Boys,100 FR,SCM,1:07.09,1:10.39,1:13.79,1:17.09,1:27.19,1:37.19
10 & under,Boys,200 FR,SCM,2:26.59,2:33.59,2:40.59,2:47.49,3:08.49,3:29.39
10 & under,Boys,400 FR,SCM,5:08.89,5:23.59,5:38.29,5:52.99,6:37.09,7:21.19
10 & under,Boys,50 BK,SCM,35.59,37.59,39.59,41.49,47.39,53.39
10 & under,Boys,100 BK,SCM,1:16.29,1:20.09,1:23.99,1:27.89,1:39.59,1:51.19
10 & under,Boys,50 BR,SCM,40.19,42.29,44.39,46.49,52.79,58.99
10 & under,Boys,100 BR,SCM,1:26.99,1:31.39,1:35.69,1:40.09,1:53.09,2:06.09
10 & under,Boys,50 FL,SCM,33.99,35.99,37.89,39.79,45.59,51.39
10 & under,Boys,100 FL,SCM,1:17.09,1:22.49,1:27.79,1:33.19,1:49.29,2:05.49
10 & under,Boys,100 IM,SCM,1:17.09,1:20.79,1:24.39,1:28.09,1:39.09,1:50.09
10 & under,Boys,200 IM,SCM,2:46.69,2:55.09,3:03.39,3:11.69,3:36.59,4:01.59
10 & under,Boys,200 FR-R,SCM,2:12.79,2:19.09,2:25.39,2:31.69,2:50.69,3:09.69
10 & under,Boys,200 MED-R,SCM,2:29.59,2:36.69,2:43.79,2:50.89,3:12.29,3:33.69
11-12,Girls,50 FR,SCM,37.59,34.99,32.39,31.09,29.79,28.49
11-12,Girls,100 FR,SCM,1:22.49,1:16.59,1:10.69,1:07.79,1:04.89,1:01.89
11-12,Girls,200 FR,SCM,2:59.59,2:46.79,2:33.99,2:27.59,2:21.09,2:14.69
11-12,Girls,400 FR,SCM,6:22.29,5:54.99,5:27.69,5:14.09,5:00.39,4:46.79
11-12,Girls,800 FR,SCM,13:09.89,12:13.49,11:16.99,10:48.79,10:20.59,9:52.39
11-12,Girls,1500 FR,SCM,24:58.39,23:11.29,21:24.29,20:30.79,19:37.29,18:43.79
11-12,Girls,50 BK,SCM,42.79,39.79,36.69,35.19,33.59,32.09
11-12,Girls,100 BK,SCM,1:35.69,1:28.19,1:20.59,1:16.89,1:13.09,1:09.29
11-12,Girls,200 BK,SCM,3:18.29,3:04.19,2:49.99,2:42.89,2:35.79,2:28.79
11-12,Girls,50 BR,SCM,48.59,45.19,41.69,39.89,38.19,36.49
11-12,Girls,100 BR,SCM,1:46.59,1:38.69,1:30.79,1:26.89,1:22.99,1:18.99
11-12,Girls,200 BR,SCM,3:47.29,3:31.09,3:14.89,3:06.69,2:58.59,2:50.49
11-12,Girls,50 FL,SCM,40.79,37.79,34.89,33.49,31.99,30.59
11-12,Girls,100 FL,SCM,1:34.79,1:27.19,1:19.59,1:15.79,1:12.09,1:08.29
11-12,Girls,200 FL,SCM,3:22.59,3:08.19,2:53.69,2:46.49,2:39.19,2:31.99
11-12,Girls,100 IM,SCM,1:34.19,1:27.49,1:20.69,1:17.39,1:13.99,1:10.59
11-12,Girls,200 IM,SCM,3:23.19,3:08.69,2:54.19,2:46.89,2:39.59,2:32.39
11-12,Girls,400 IM,SCM,7:12.79,6:41.89,6:10.99,5:55.59,5:40.09,5:24.59
11-12,Girls,200 FR-R,SCM,2:39.89,2:28.49,2:17.09,2:11.39,2:05.69,1:59.99
11-12,Girls,400 FR-R,SCM,5:51.59,5:26.39,5:01.29,4:48.79,4:36.19,4:23.69
11-12,Girls,200 MED-R,SCM,2:58.09,2:45.39,2:32.69,2:26.29,2:19.89,2:13.59
11-12,Girls,400 MED-R,SCM,6:30.59,6:02.69,5:34.79,5:20.89,5:06.89,4:52.99
