Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10,Girls,50 FR,LCM,45.39,40.99,36.59,35.09,33.69,32.19
10,Girls,100 FR,LCM,104.19,93.09,81.99,78.29,74.59,70.89
10,Girls,200 FR,LCM,230.99,205.69,180.39,171.99,163.49,155.09
10,Girls,400 FR,LCM,469.09,422.19,375.29,359.69,343.99,328.39
10,Girls,50 BK,LCM,55.79,49.69,43.59,41.59,39.49,37.49
10,Girls,100 BK,LCM,121.99,108.49,94.99,90.39,85.89,81.39
10,Girls,50 BR,LCM,62.19,55.49,48.79,46.49,44.29,42.09
10,Girls,100 BR,LCM,139.49,123.99,108.49,103.39,98.19,93.09
10,Girls,50 FL,LCM,54.49,48.09,41.59,39.49,37.29,35.19
10,Girls,100 FL,LCM,133.39,115.89,98.49,92.59,86.79,80.99
10,Girls,200 IM,LCM,256.19,229.29,202.39,193.49,184.49,175.59
10,Boys,50 FR,LCM,31.69,32.99,34.39,35.69,39.79,43.89
10,Boys,100 FR,LCM,69.79,73.29,76.79,80.19,90.69,101.09
10,Boys,200 FR,LCM,151.99,159.19,166.39,173.69,195.39,217.09
10,Boys,400 FR,LCM,321.29,336.59,351.89,367.19,413.09,458.99
10,Boys,50 BK,LCM,36.99,38.99,41.09,43.09,49.29,55.39
10,Boys,100 BK,LCM,79.99,84.09,88.19,92.29,104.49,116.69
10,Boys,50 BR,LCM,41.49,43.59,45.79,47.89,54.39,60.89
10,Boys,100 BR,LCM,91.89,96.49,101.09,105.59,119.39,133.09
10,Boys,50 FL,LCM,34.69,36.59,38.59,40.59,46.39,52.29
10,Boys,100 FL,LCM,79.59,85.19,90.69,96.29,112.89,129.59
10,Boys,200 IM,LCM,172.49,181.09,189.69,198.29,224.09,249.89
11,Girls,50 FR,LCM,40.39,37.59,34.79,33.39,31.99,30.59
11,Girls,100 FR,LCM,89.19,82.79,76.49,73.29,70.09,66.89
11,Girls,200 FR,LCM,192.99,179.19,165.39,158.49,151.69,144.79
11,Girls,400 FR,LCM,408.69,379.49,350.29,335.79,321.19,306.59
11,Girls,800 FR,LCM,868.29,806.29,744.29,713.29,682.29,651.19
11,Girls,1500 FR,LCM,1677.39,1557.59,1437.79,1377.89,1317.99,1257.99
11,Girls,50 BK,LCM,46.79,43.49,40.09,38.49,36.79,35.09
11,Girls,100 BK,LCM,105.79,97.49,89.19,84.99,80.79,76.69
11,Girls,200 BK,LCM,220.49,204.79,188.99,181.19,173.29,165.39
11,Girls,50 BR,LCM,52.29,48.59,44.89,42.99,41.09,39.29
11,Girls,100 BR,LCM,115.89,107.29,98.79,94.49,90.19,85.89
11,Girls,200 BR,LCM,248.29,230.59,212.79,203.99,195.09,186.19
11,Girls,50 FL,LCM,43.59,40.49,37.39,35.89,34.29,32.69
11,Girls,100 FL,LCM,103.39,95.09,86.89,82.69,78.59,74.49
11,Girls,200 FL,LCM,226.89,210.69,194.49,186.39,178.29,170.19
11,Girls,200 IM,LCM,220.59,204.89,189.09,181.19,173.29,165.49
11,Girls,400 IM,LCM,475.89,441.99,407.99,390.99,373.99,356.99
11,Boys,50 FR,LCM,29.89,31.39,32.79,34.19,37.09,39.89
11,Boys,100 FR,LCM,65.89,68.99,72.09,75.29,81.49,87.79
11,Boys,200 FR,LCM,142.39,149.09,155.89,162.69,176.19,189.79
11,Boys,400 FR,LCM,301.29,315.69,329.99,344.39,373.09,401.79
11,Boys,800 FR,LCM,634.99,665.29,695.49,725.79,786.19,846.69
11,Boys,1500 FR,LCM,1233.29,1291.99,1350.79,1409.49,1526.89,1644.39
11,Boys,50 BK,LCM,34.89,36.69,38.49,40.29,43.99,47.59
11,Boys,100 BK,LCM,75.89,79.99,84.09,88.19,96.49,104.69
11,Boys,200 BK,LCM,162.69,170.49,178.19,185.99,201.49,216.99
11,Boys,50 BR,LCM,38.69,40.79,42.89,44.99,49.19,53.39
11,Boys,100 BR,LCM,85.89,90.29,94.79,99.29,108.19,117.19
11,Boys,200 BR,LCM,185.79,194.59,203.39,212.29,229.99,247.69
11,Boys,50 FL,LCM,32.59,34.39,36.19,37.99,41.59,45.29
11,Boys,100 FL,LCM,73.69,77.99,82.19,86.49,94.99,103.49
11,Boys,200 FL,LCM,165.99,173.89,181.79,189.69,205.49,221.29
11,Boys,200 IM,LCM,162.59,170.89,179.19,187.49,204.09,220.69
11,Boys,400 IM,LCM,349.99,366.59,383.29,399.99,433.29,466.59
12,Girls,50 FR,LCM,38.69,35.99,33.39,31.99,30.69,29.29
12,Girls,100 FR,LCM,85.69,79.59,73.49,70.39,67.29,64.29
12,Girls,200 FR,LCM,186.79,173.49,160.09,153.49,146.79,140.09
12,Girls,400 FR,LCM,392.89,364.79,336.79,322.79,308.69,294.69
12,Girls,800 FR,LCM,822.39,763.69,704.89,675.59,646.19,616.79
12,Girls,1500 FR,LCM,1573.99,1461.59,1349.19,1292.89,1236.69,1180.49
12,Girls,50 BK,LCM,44.89,41.69,38.49,36.89,35.29,33.69
12,Girls,100 BK,LCM,100.59,92.69,84.79,80.79,76.89,72.89
12,Girls,200 BK,LCM,208.19,193.29,178.39,170.99,163.59,156.09
12,Girls,50 BR,LCM,49.79,46.19,42.69,40.89,39.09,37.39
12,Girls,100 BR,LCM,110.39,102.19,93.99,89.99,85.89,81.79
12,Girls,200 BR,LCM,237.29,220.29,203.39,194.89,186.39,177.99
12,Girls,50 FL,LCM,41.79,38.79,35.79,34.29,32.89,31.39
12,Girls,100 FL,LCM,98.39,90.59,82.69,78.79,74.79,70.89
12,Girls,200 FL,LCM,211.09,195.99,180.89,173.39,165.89,158.29
12,Girls,200 IM,LCM,210.79,195.79,180.69,173.19,165.59,158.09
12,Girls,400 IM,LCM,448.89,416.79,384.79,368.69,352.69,336.69
12,Boys,50 FR,LCM,28.09,29.39,30.79,32.09,34.79,37.39
12,Boys,100 FR,LCM,61.59,64.49,67.49,70.39,76.19,82.09
12,Boys,200 FR,LCM,134.39,140.79,147.19,153.59,166.39,179.19
12,Boys,400 FR,LCM,285.89,299.49,313.09,326.69,353.99,381.19
12,Boys,800 FR,LCM,601.89,630.59,659.19,687.89,745.19,802.49
12,Boys,1500 FR,LCM,1163.89,1219.29,1274.69,1330.19,1440.99,1551.79
12,Boys,50 BK,LCM,32.69,34.39,36.09,37.79,41.19,44.59
12,Boys,100 BK,LCM,70.39,74.29,78.09,81.89,89.59,97.19
12,Boys,200 BK,LCM,152.19,159.49,166.69,173.99,188.49,202.99
12,Boys,50 BR,LCM,36.09,38.09,39.99,41.99,45.89,49.79
12,Boys,100 BR,LCM,78.99,83.09,87.19,91.29,99.59,107.79
12,Boys,200 BR,LCM,170.99,179.09,187.19,195.39,211.59,227.89
12,Boys,50 FL,LCM,30.29,31.99,33.59,35.29,38.69,41.99
12,Boys,100 FL,LCM,67.79,71.69,75.59,79.49,87.29,95.09
12,Boys,200 FL,LCM,154.09,161.49,168.79,176.09,190.79,205.49
12,Boys,200 IM,LCM,151.09,158.79,166.49,174.19,189.59,204.99
12,Boys,400 IM,LCM,328.39,344.09,359.69,375.39,406.59,437.89
13,Girls,50 FR,LCM,38.09,35.39,32.59,31.29,29.89,28.59
13,Girls,100 FR,LCM,82.79,76.89,70.99,67.99,64.99,62.09
13,Girls,200 FR,LCM,180.39,167.59,154.69,148.19,141.79,135.29
13,Girls,400 FR,LCM,379.09,352.09,324.99,311.39,297.89,284.39
13,Girls,800 FR,LCM,785.99,729.89,673.79,645.69,617.59,589.49
13,Girls,1500 FR,LCM,1508.99,1401.19,1293.39,1239.49,1185.59,1131.69
13,Girls,50 BK,LCM,43.79,40.59,37.49,35.99,34.39,32.79
13,Girls,100 BK,LCM,92.59,85.99,79.39,76.09,72.79,69.39
13,Girls,200 BK,LCM,199.79,185.49,171.19,164.09,156.99,149.79
13,Girls,50 BR,LCM,49.09,45.59,42.09,40.29,38.59,36.79
13,Girls,100 BR,LCM,104.69,97.29,89.79,85.99,82.29,78.59
13,Girls,200 BR,LCM,225.79,209.69,193.49,185.49,177.39,169.29
13,Girls,50 FL,LCM,41.19,38.29,35.29,33.89,32.39,30.89
13,Girls,100 FL,LCM,89.89,83.49,76.99,73.79,70.59,67.39
13,Girls,200 FL,LCM,201.29,186.89,172.59,165.39,158.19,150.99
13,Girls,200 IM,LCM,202.39,187.89,173.49,166.19,158.99,151.79
13,Girls,400 IM,LCM,429.89,399.19,368.49,353.09,337.79,322.39
13,Boys,50 FR,LCM,26.79,27.99,29.29,30.59,33.09,35.69
13,Boys,100 FR,LCM,58.69,61.49,64.29,67.09,72.59,78.19
13,Boys,200 FR,LCM,127.49,133.59,139.69,145.69,157.89,169.99
13,Boys,400 FR,LCM,269.99,282.79,295.69,308.49,334.19,359.89
13,Boys,800 FR,LCM,563.49,590.29,617.19,643.99,697.69,751.29
13,Boys,1500 FR,LCM,1079.19,1130.59,1181.99,1233.39,1336.19,1438.89
13,Boys,50 BK,LCM,30.89,32.39,33.89,35.39,38.29,41.19
13,Boys,100 BK,LCM,65.59,68.69,71.79,74.89,81.09,87.39
13,Boys,200 BK,LCM,142.39,149.09,155.89,162.69,176.19,189.79
13,Boys,50 BR,LCM,34.49,36.09,37.69,39.39,42.59,45.89
13,Boys,100 BR,LCM,72.89,76.39,79.89,83.29,90.29,97.19
13,Boys,200 BR,LCM,159.99,167.69,175.29,182.89,198.09,213.39
13,Boys,50 FL,LCM,29.29,30.69,32.09,33.49,36.29,38.99
13,Boys,100 FL,LCM,63.09,66.09,69.09,72.09,78.09,84.09
13,Boys,200 FL,LCM,141.69,148.49,155.19,161.99,175.49,188.89
13,Boys,200 IM,LCM,142.79,149.59,156.39,163.19,176.79,190.39
13,Boys,400 IM,LCM,304.99,319.59,334.09,348.59,377.69,406.69
14,Girls,50 FR,LCM,37.39,34.69,31.99,30.69,29.39,27.99
14,Girls,100 FR,LCM,81.19,75.39,69.59,66.69,63.79,60.89
14,Girls,200 FR,LCM,175.49,162.99,150.39,144.19,137.89,131.59
14,Girls,400 FR,LCM,368.89,342.49,316.19,302.99,289.79,276.69
14,Girls,800 FR,LCM,766.09,711.39,656.69,629.29,601.99,574.59
14,Girls,1500 FR,LCM,1472.59,1367.39,1262.19,1209.59,1157.09,1104.49
14,Girls,50 BK,LCM,42.69,39.69,36.59,35.09,33.59,31.99
14,Girls,100 BK,LCM,89.99,83.59,77.09,73.89,70.69,67.49
14,Girls,200 BK,LCM,193.99,180.09,166.29,159.29,152.39,145.49
14,Girls,50 BR,LCM,47.89,44.49,41.09,39.39,37.59,35.89
14,Girls,100 BR,LCM,102.39,95.09,87.79,84.19,80.49,76.79
14,Girls,200 BR,LCM,220.79,205.09,189.29,181.39,173.49,165.59
14,Girls,50 FL,LCM,39.99,37.09,34.29,32.79,31.39,29.99
14,Girls,100 FL,LCM,87.39,81.19,74.99,71.79,68.69,65.59
14,Girls,200 FL,LCM,196.79,182.79,168.69,161.69,154.59,147.59
14,Girls,200 IM,LCM,197.39,183.29,169.19,162.09,155.09,148.09
14,Girls,400 IM,LCM,418.49,388.59,358.69,343.79,328.79,313.89
14,Boys,50 FR,LCM,25.69,26.89,28.19,29.39,31.79,34.29
14,Boys,100 FR,LCM,56.39,58.99,61.69,64.39,69.79,75.09
14,Boys,200 FR,LCM,122.99,128.89,134.69,140.59,152.29,163.99
14,Boys,400 FR,LCM,262.49,274.99,287.49,299.89,324.89,349.89
14,Boys,800 FR,LCM,543.69,569.59,595.49,621.39,673.09,724.89
14,Boys,1500 FR,LCM,1043.49,1093.19,1142.89,1192.59,1291.99,1391.39
14,Boys,50 BK,LCM,29.69,31.09,32.49,33.89,36.69,39.49
14,Boys,100 BK,LCM,62.79,65.79,68.69,71.69,77.69,83.69
14,Boys,200 BK,LCM,136.49,142.99,149.49,155.99,168.99,181.99
14,Boys,50 BR,LCM,33.09,34.69,36.29,37.79,40.99,44.09
14,Boys,100 BR,LCM,70.49,73.89,77.19,80.59,87.29,93.99
14,Boys,200 BR,LCM,152.99,160.19,167.49,174.79,189.39,203.89
14,Boys,50 FL,LCM,27.99,29.29,30.59,31.99,34.59,37.29
14,Boys,100 FL,LCM,60.29,63.09,65.99,68.89,74.59,80.29
14,Boys,200 FL,LCM,135.09,141.49,147.89,154.39,167.19,180.09
14,Boys,200 IM,LCM,137.29,143.79,150.29,156.89,169.89,182.99
14,Boys,400 IM,LCM,293.49,307.49,321.49,335.49,363.39,391.39
15,Girls,50 FR,LCM,36.79,34.19,31.59,30.29,28.99,27.59
15,Girls,100 FR,LCM,79.49,73.79,68.19,65.29,62.49,59.69
15,Girls,200 FR,LCM,172.49,160.19,147.79,141.69,135.49,129.39
15,Girls,400 FR,LCM,362.89,336.99,311.09,298.09,285.19,272.19
15,Girls,800 FR,LCM,747.79,694.29,640.89,614.19,587.49,560.79
15,Girls,1500 FR,LCM,1431.99,1329.69,1227.49,1176.29,1125.19,1073.99
15,Girls,100 BK,LCM,88.29,81.99,75.69,72.59,69.39,66.29
15,Girls,200 BK,LCM,189.89,176.39,162.79,155.99,149.19,142.49
15,Girls,100 BR,LCM,100.19,92.99,85.89,82.29,78.69,75.09
15,Girls,200 BR,LCM,216.79,201.29,185.79,178.09,170.29,162.59
15,Girls,100 FL,LCM,85.79,79.59,73.49,70.49,67.39,64.29
15,Girls,200 FL,LCM,190.89,177.29,163.59,156.79,149.99,143.19
15,Girls,200 IM,LCM,194.49,180.59,166.69,159.79,152.79,145.89
15,Girls,400 IM,LCM,413.99,384.39,354.89,340.09,325.29,310.49
15,Boys,50 FR,LCM,24.99,26.19,27.39,28.59,30.99,33.29
15,Boys,100 FR,LCM,54.49,57.09,59.69,62.29,67.49,72.69
15,Boys,200 FR,LCM,119.99,125.79,131.49,137.19,148.59,159.99
15,Boys,400 FR,LCM,255.59,267.79,279.89,292.09,316.39,340.79
15,Boys,800 FR,LCM,528.49,553.59,578.79,603.89,654.29,704.59
15,Boys,1500 FR,LCM,1019.19,1067.69,1116.29,1164.79,1261.79,1358.89
15,Boys,100 BK,LCM,60.89,63.79,66.69,69.59,75.39,81.19
15,Boys,200 BK,LCM,132.19,138.49,144.79,151.09,163.69,176.19
15,Boys,100 BR,LCM,68.59,71.79,75.09,78.39,84.89,91.39
15,Boys,200 BR,LCM,149.99,157.09,164.19,171.39,185.69,199.89
15,Boys,100 FL,LCM,58.89,61.69,64.49,67.29,72.89,78.59
15,Boys,200 FL,LCM,131.79,137.99,144.29,150.59,163.09,175.69
15,Boys,200 IM,LCM,134.09,140.49,146.89,153.19,165.99,178.79
15,Boys,400 IM,LCM,288.19,301.89,315.59,329.29,356.69,384.19
16,Girls,50 FR,LCM,36.39,33.79,31.19,29.89,28.59,27.29
16,Girls,100 FR,LCM,78.49,72.89,67.29,64.49,61.69,58.89
16,Girls,200 FR,LCM,169.49,157.39,145.29,139.29,133.19,127.09
16,Girls,400 FR,LCM,358.99,333.29,307.69,294.89,282.09,269.29
16,Girls,800 FR,LCM,741.19,688.29,635.29,608.89,582.39,555.89
16,Girls,1500 FR,LCM,1425.29,1323.49,1221.69,1170.79,1119.89,1068.99
