Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10,Girls,50 FR,SCM,44.09,39.89,35.59,34.19,32.79,31.29
10,Girls,100 FR,SCM,100.39,89.69,78.99,75.49,71.89,68.29
10,Girls,200 FR,SCM,223.99,199.49,174.99,166.79,158.59,150.39
10,Girls,400 FR,SCM,452.69,407.49,362.19,347.09,331.99,316.89
10,Girls,50 BK,SCM,53.69,47.79,41.89,39.99,37.99,36.09
10,Girls,100 BK,SCM,116.89,103.89,90.89,86.59,82.29,77.99
10,Girls,50 BR,SCM,60.29,53.79,47.29,45.09,42.99,40.79
10,Girls,100 BR,SCM,132.89,118.19,103.39,98.49,93.59,88.69
10,Girls,50 FL,SCM,53.49,47.19,40.89,38.79,36.69,34.59
10,Girls,100 FL,SCM,128.89,112.09,95.19,89.49,83.89,78.29
10,Girls,100 IM,SCM,115.99,103.69,91.29,87.19,83.09,78.99
10,Girls,200 IM,SCM,246.39,220.59,194.69,186.09,177.49,168.89
10,Boys,50 FR,SCM,30.49,31.89,33.19,34.49,38.39,42.39
10,Boys,100 FR,SCM,67.49,70.79,74.19,77.59,87.69,97.69
10,Boys,200 FR,SCM,146.69,153.69,160.69,167.59,188.59,209.49
10,Boys,400 FR,SCM,308.99,323.79,338.49,353.19,397.29,441.49
10,Boys,50 BK,SCM,35.79,37.79,39.69,41.69,47.69,53.59
10,Boys,100 BK,SCM,76.49,80.39,84.39,88.29,99.99,111.69
10,Boys,50 BR,SCM,40.29,42.39,44.49,46.49,52.79,59.09
10,Boys,100 BR,SCM,88.09,92.49,96.89,101.29,114.49,127.59
10,Boys,50 FL,SCM,34.09,35.99,37.89,39.79,45.59,51.39
10,Boys,100 FL,SCM,77.29,82.69,88.09,93.49,109.69,125.89
10,Boys,100 IM,SCM,77.19,80.89,84.59,88.19,99.29,110.29
10,Boys,200 IM,SCM,166.69,175.09,183.39,191.69,216.59,241.59
11,Girls,50 FR,SCM,39.09,36.39,33.69,32.39,30.99,29.69
11,Girls,100 FR,SCM,85.89,79.69,73.59,70.49,67.49,64.39
11,Girls,200 FR,SCM,186.89,173.49,160.19,153.49,146.89,140.19
11,Girls,400 FR,SCM,397.29,368.89,340.49,326.39,312.19,297.99
11,Girls,800 FR,SCM,826.39,767.39,708.39,678.89,649.39,619.79
11,Girls,1500 FR,SCM,1595.29,1481.39,1367.39,1310.49,1253.49,1196.49
11,Girls,50 BK,SCM,44.89,41.69,38.49,36.89,35.29,33.69
11,Girls,100 BK,SCM,100.19,92.29,84.39,80.49,76.49,72.59
11,Girls,200 BK,SCM,209.69,194.69,179.69,172.19,164.69,157.29
11,Girls,50 BR,SCM,50.29,46.69,43.09,41.29,39.49,37.69
