Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10,Girls,50 FR,SCY,39.89,36.09,32.19,30.89,29.69,28.39
10,Girls,100 FR,SCY,90.89,81.19,71.49,68.29,65.09,61.89
10,Girls,200 FR,SCY,202.79,180.59,158.39,150.99,143.59,136.19
10,Girls,500 FR,SCY,517.39,465.69,413.89,396.69,379.39,362.19
10,Girls,50 BK,SCY,48.59,43.29,37.99,36.19,34.39,32.59
10,Girls,100 BK,SCY,105.79,93.99,82.29,78.39,74.49,70.59
10,Girls,50 BR,SCY,54.59,48.69,42.79,40.89,38.89,36.89
10,Girls,100 BR,SCY,120.29,106.89,93.59,89.09,84.69,80.19
10,Girls,50 FL,SCY,48.39,42.69,36.99,35.09,33.19,31.29
10,Girls,100 FL,SCY,116.69,101.39,86.09,80.99,75.99,70.89
10,Girls,100 IM,SCY,104.99,93.79,82.59,78.89,75.19,71.49
10,Girls,200 IM,SCY,222.99,199.59,176.19,168.39,160.69,152.89
10,Boys,50 FR,SCY,27.59,28.79,29.99,31.19,34.79,38.29
10,Boys,100 FR,SCY,61.09,64.09,67.19,70.19,79.29,88.49
10,Boys,200 FR,SCY,132.79,139.09,145.39,151.69,170.69,189.59
10,Boys,500 FR,SCY,353.19,369.99,386.79,403.59,454.09,504.49
10,Boys,50 BK,SCY,32.39,34.19,35.99,37.79,43.09,48.49
10,Boys,100 BK,SCY,69.29,72.79,76.29,79.89,90.49,101.09
10,Boys,50 BR,SCY,36.39,38.29,40.19,42.09,47.79,53.49
10,Boys,100 BR,SCY,79.69,83.69,87.69,91.69,103.59,115.49
10,Boys,50 FL,SCY,30.79,32.59,34.29,36.09,41.29,46.49
10,Boys,100 FL,SCY,69.99,74.89,79.79,84.59,99.29,113.89
10,Boys,100 IM,SCY,69.89,73.19,76.49,79.89,89.79,99.79
10,Boys,200 IM,SCY,150.89,158.39,165.89,173.49,195.99,218.59
11,Girls,50 FR,SCY,35.39,32.99,30.49,29.29,28.09,26.79
11,Girls,100 FR,SCY,77.69,72.19,66.59,63.79,61.09,58.29
11,Girls,200 FR,SCY,169.09,157.09,144.99,138.89,132.89,126.89
11,Girls,500 FR,SCY,453.99,421.59,389.19,372.99,356.79,340.49
11,Girls,1000 FR,SCY,944.49,876.99,809.59,775.79,742.09,708.39
11,Girls,1650 FR,SCY,1604.99,1490.29,1375.69,1318.39,1261.09,1203.69
11,Girls,50 BK,SCY,40.59,37.69,34.79,33.39,31.89,30.49
11,Girls,100 BK,SCY,90.69,83.59,76.39,72.79,69.29,65.69
11,Girls,200 BK,SCY,189.69,176.19,162.59,155.89,149.09,142.29
11,Girls,50 BR,SCY,45.49,42.29,38.99,37.39,35.79,34.09
11,Girls,100 BR,SCY,100.29,92.89,85.49,81.79,78.09,74.39
11,Girls,200 BR,SCY,215.39,199.99,184.59,176.89,169.19,161.49
11,Girls,50 FL,SCY,38.89,36.09,33.39,31.99,30.59,29.19
11,Girls,100 FL,SCY,90.79,83.49,76.29,72.59,68.99,65.39
11,Girls,200 FL,SCY,196.49,182.39,168.39,161.39,154.39,147.39
11,Girls,100 IM,SCY,88.69,82.29,75.99,72.79,69.69,66.49
11,Girls,200 IM,SCY,192.79,178.99,165.19,158.39,151.49,144.59
11,Girls,400 IM,SCY,412.09,382.69,353.29,338.49,323.79,309.09
11,Boys,50 FR,SCY,26.29,27.59,28.79,30.09,32.59,35.09
11,Boys,100 FR,SCY,57.09,59.79,62.49,65.19,70.59,76.09
11,Boys,200 FR,SCY,124.99,130.89,136.89,142.79,154.69,166.59
11,Boys,500 FR,SCY,334.69,350.59,366.59,382.49,414.39,446.19
11,Boys,1000 FR,SCY,703.99,737.59,771.09,804.59,871.69,938.69
11,Boys,1650 FR,SCY,1194.09,1250.99,1307.79,1364.69,1478.39,1592.09
11,Boys,50 BK,SCY,30.19,31.79,33.39,34.89,38.09,41.19
11,Boys,100 BK,SCY,64.99,68.59,72.09,75.59,82.69,89.79
11,Boys,200 BK,SCY,140.69,147.39,154.09,160.79,174.19,187.59
11,Boys,50 BR,SCY,33.99,35.79,37.69,39.49,43.19,46.89
11,Boys,100 BR,SCY,73.49,77.29,81.19,84.99,92.59,100.29
11,Boys,200 BR,SCY,160.69,168.29,175.99,183.59,198.89,214.19
11,Boys,50 FL,SCY,28.89,30.49,32.09,33.69,36.89,40.09
11,Boys,100 FL,SCY,64.49,68.19,71.89,75.59,82.99,90.49
11,Boys,200 FL,SCY,143.79,150.69,157.49,164.39,178.09,191.79
11,Boys,100 IM,SCY,65.69,68.89,72.09,75.29,81.69,88.09
11,Boys,200 IM,SCY,141.99,149.29,156.49,163.69,178.19,192.69
11,Boys,400 IM,SCY,301.19,315.49,329.79,344.19,372.79,401.49
12,Girls,50 FR,SCY,34.09,31.69,29.39,28.19,26.99,25.79
12,Girls,100 FR,SCY,74.69,69.39,64.09,61.39,58.69,56.09
12,Girls,200 FR,SCY,163.39,151.69,139.99,134.19,128.39,122.49
12,Girls,500 FR,SCY,437.29,406.09,374.89,359.19,343.59,327.99
12,Girls,1000 FR,SCY,902.69,838.19,773.79,741.49,709.29,676.99
12,Girls,1650 FR,SCY,1507.39,1399.69,1292.09,1238.19,1184.39,1130.59
12,Girls,50 BK,SCY,38.79,36.09,33.29,31.89,30.49,29.09
12,Girls,100 BK,SCY,86.59,79.79,72.99,69.59,66.19,62.69
12,Girls,200 BK,SCY,180.09,167.19,154.39,147.89,141.49,135.09
12,Girls,50 BR,SCY,43.99,40.89,37.69,36.19,34.59,32.99
12,Girls,100 BR,SCY,96.49,89.39,82.19,78.69,75.09,71.49
12,Girls,200 BR,SCY,205.89,191.19,176.49,169.09,161.79,154.39
12,Girls,50 FL,SCY,36.99,34.29,31.69,30.39,29.09,27.79
12,Girls,100 FL,SCY,86.09,79.19,72.29,68.89,65.49,61.99
12,Girls,200 FL,SCY,183.39,170.29,157.19,150.59,144.09,137.59
12,Girls,100 IM,SCY,85.29,79.19,73.09,70.09,66.99,63.99
12,Girls,200 IM,SCY,183.99,170.79,157.69,151.09,144.59,137.99
12,Girls,400 IM,SCY,392.29,364.29,336.29,322.29,308.29,294.29
12,Boys,50 FR,SCY,24.59,25.79,26.99,28.09,30.49,32.79
12,Boys,100 FR,SCY,53.69,56.19,58.79,61.29,66.39,71.49
12,Boys,200 FR,SCY,116.99,122.59,128.19,133.69,144.89,155.99
12,Boys,500 FR,SCY,314.99,329.99,344.99,359.99,389.99,419.89
12,Boys,1000 FR,SCY,662.59,694.19,725.79,757.29,820.39,883.49
12,Boys,1650 FR,SCY,1101.49,1153.89,1206.39,1258.79,1363.69,1468.59
12,Boys,50 BK,SCY,28.19,29.69,31.19,32.69,35.59,38.49
12,Boys,100 BK,SCY,59.49,62.79,65.99,69.29,75.69,82.19
12,Boys,200 BK,SCY,129.69,135.89,141.99,148.19,160.49,172.89
12,Boys,50 BR,SCY,31.49,33.29,34.99,36.69,40.09,43.49
12,Boys,100 BR,SCY,67.79,71.39,74.89,78.39,85.49,92.59
12,Boys,200 BR,SCY,147.39,154.39,161.39,168.39,182.39,196.49
12,Boys,50 FL,SCY,26.69,28.19,29.69,31.19,34.19,37.09
12,Boys,100 FL,SCY,59.09,62.49,65.89,69.29,76.09,82.89
12,Boys,200 FL,SCY,132.49,138.89,145.19,151.49,164.09,176.69
12,Boys,100 IM,SCY,61.09,63.99,66.99,69.99,75.89,81.89
12,Boys,200 IM,SCY,132.09,138.79,145.59,152.29,165.79,179.29
12,Boys,400 IM,SCY,283.09,296.49,309.99,323.49,350.49,377.39
13,Girls,50 FR,SCY,33.29,30.89,28.59,27.39,26.19,24.99
13,Girls,100 FR,SCY,72.49,67.29,62.09,59.59,56.99,54.39
13,Girls,200 FR,SCY,157.69,146.49,135.19,129.59,123.89,118.29
13,Girls,500 FR,SCY,420.59,390.59,360.49,345.49,330.49,315.49
13,Girls,1000 FR,SCY,875.79,813.29,750.69,719.39,688.19,656.89
13,Girls,1650 FR,SCY,1456.79,1352.69,1248.69,1196.69,1144.59,1092.59
13,Girls,50 BK,SCY,37.19,34.59,31.89,30.59,29.29,27.89
13,Girls,100 BK,SCY,79.29,73.59,67.99,65.09,62.29,59.49
