Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10,Girls,50 FR,SCY,39.89,36.09,32.19,30.89,29.69,28.39
10,Girls,100 FR,SCY,1:30.89,1:21.19,1:11.49,1:08.29,1:05.09,1:01.89
10,Girls,200 FR,SCY,3:22.79,3:00.59,2:38.39,2:30.99,2:23.59,2:16.19
10,Girls,500 FR,SCY,8:37.39,7:45.69,6:53.89,6:36.69,6:19.39,6:02.19
10,Girls,50 BK,SCY,48.59,43.29,37.99,36.19,34.39,32.59
10,Girls,100 BK,SCY,1:45.79,1:33.99,1:22.29,1:18.39,1:14.49,1:10.59
10,Girls,50 BR,SCY,54.59,48.69,42.79,40.89,38.89,36.89
10,Girls,100 BR,SCY,2:00.29,1:46.89,1:33.59,1:29.09,1:24.69,1:20.19
10,Girls,50 FL,SCY,48.39,42.69,36.99,35.09,33.19,31.29
10,Girls,100 FL,SCY,1:56.69,1:41.39,1:26.09,1:20.99,1:15.99,1:10.89
10,Girls,100 IM,SCY,1:44.99,1:33.79,1:22.59,1:18.89,1:15.19,1:11.49
10,Girls,200 IM,SCY,3:42.99,3:19.59,2:56.19,2:48.39,2:40.69,2:32.89
10,Boys,50 FR,SCY,27.59,28.79,29.99,31.19,34.79,38.29
10,Boys,100 FR,SCY,1:01.09,1:04.09,1:07.19,1:10.19,1:19.29,1:28.49
10,Boys,200 FR,SCY,2:12.79,2:19.09,2:25.39,2:31.69,2:50.69,3:09.59
10,Boys,500 FR,SCY,5:53.19,6:09.99,6:26.79,6:43.59,7:34.09,8:24.49
10,Boys,50 BK,SCY,32.39,34.19,35.99,37.79,43.09,48.49
10,Boys,100 BK,SCY,1:09.29,1:12.79,1:16.29,1:19.89,1:30.49,1:41.09
10,Boys,50 BR,SCY,36.39,38.29,40.19,42.09,47.79,53.49
10,Boys,100 BR,SCY,1:19.69,1:23.69,1:27.69,1:31.69,1:43.59,1:55.49
10,Boys,50 FL,SCY,30.79,32.59,34.29,36.09,41.29,46.49
10,Boys,100 FL,SCY,1:09.99,1:14.89,1:19.79,1:24.59,1:39.29,1:53.89
10,Boys,100 IM,SCY,1:09.89,1:13.19,1:16.49,1:19.89,1:29.79,1:39.79
10,Boys,200 IM,SCY,2:30.89,2:38.39,2:45.89,2:53.49,3:15.99,3:38.59
11,Girls,50 FR,SCY,35.39,32.99,30.49,29.29,28.09,26.79
11,Girls,100 FR,SCY,1:17.69,1:12.19,1:06.59,1:03.79,1:01.09,58.29
11,Girls,200 FR,SCY,2:49.09,2:37.09,2:24.99,2:18.89,2:12.89,2:06.89
