Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10,Girls,50 FR,LCM,45.39,40.99,36.59,35.09,33.69,32.19
10,Girls,100 FR,LCM,1:44.19,1:33.09,1:21.99,1:18.29,1:14.59,1:10.89
10,Girls,200 FR,LCM,3:50.99,3:25.69,3:00.39,2:51.99,2:43.49,2:35.09
10,Girls,400 FR,LCM,7:49.09,7:02.19,6:15.29,5:59.69,5:43.99,5:28.39
10,Girls,50 BK,LCM,55.79,49.69,43.59,41.59,39.49,37.49
10,Girls,100 BK,LCM,2:01.99,1:48.49,1:34.99,1:30.39,1:25.89,1:21.39
10,Girls,50 BR,LCM,1:02.19,55.49,48.79,46.49,44.29,42.09
10,Girls,100 BR,LCM,2:19.49,2:03.99,1:48.49,1:43.39,1:38.19,1:33.09
10,Girls,50 FL,LCM,54.49,48.09,41.59,39.49,37.29,35.19
10,Girls,100 FL,LCM,2:13.39,1:55.89,1:38.49,1:32.59,1:26.79,1:20.99
10,Girls,200 IM,LCM,4:16.19,3:49.29,3:22.39,3:13.49,3:04.49,2:55.59
10,Boys,50 FR,LCM,31.69,32.99,34.39,35.69,39.79,43.89
10,Boys,100 FR,LCM,1:09.79,1:13.29,1:16.79,1:20.19,1:30.69,1:41.09
10,Boys,200 FR,LCM,2:31.99,2:39.19,2:46.39,2:53.69,3:15.39,3:37.09
10,Boys,400 FR,LCM,5:21.29,5:36.59,5:51.89,6:07.19,6:53.09,7:38.99
10,Boys,50 BK,LCM,36.99,38.99,41.09,43.09,49.29,55.39
10,Boys,100 BK,LCM,1:19.99,1:24.09,1:28.19,1:32.29,1:44.49,1:56.69
10,Boys,50 BR,LCM,41.49,43.59,45.79,47.89,54.39,1:00.89
10,Boys,100 BR,LCM,1:31.89,1:36.49,1:41.09,1:45.59,1:59.39,2:13.09
10,Boys,50 FL,LCM,34.69,36.59,38.59,40.59,46.39,52.29
10,Boys,100 FL,LCM,1:19.59,1:25.19,1:30.69,1:36.29,1:52.89,2:09.59
10,Boys,200 IM,LCM,2:52.49,3:01.09,3:09.69,3:18.29,3:44.09,4:09.89
11,Girls,50 FR,LCM,40.39,37.59,34.79,33.39,31.99,30.59
11,Girls,100 FR,LCM,1:29.19,1:22.79,1:16.49,1:13.29,1:10.09,1:06.89
11,Girls,200 FR,LCM,3:12.99,2:59.19,2:45.39,2:38.49,2:31.69,2:24.79
11,Girls,400 FR,LCM,6:48.69,6:19.49,5:50.29,5:35.79,5:21.19,5:06.59
11,Girls,800 FR,LCM,14:28.29,13:26.29,12:24.29,11:53.29,11:22.29,10:51.19
11,Girls,1500 FR,LCM,27:57.39,25:57.59,23:57.79,22:57.89,21:57.99,20:57.99
11,Girls,50 BK,LCM,46.79,43.49,40.09,38.49,36.79,35.09
11,Girls,100 BK,LCM,1:45.79,1:37.49,1:29.19,1:24.99,1:20.79,1:16.69
11,Girls,200 BK,LCM,3:40.49,3:24.79,3:08.99,3:01.19,2:53.29,2:45.39
11,Girls,50 BR,LCM,52.29,48.59,44.89,42.99,41.09,39.29
11,Girls,100 BR,LCM,1:55.89,1:47.29,1:38.79,1:34.49,1:30.19,1:25.89
11,Girls,200 BR,LCM,4:08.29,3:50.59,3:32.79,3:23.99,3:15.09,3:06.19
11,Girls,50 FL,LCM,43.59,40.49,37.39,35.89,34.29,32.69
11,Girls,100 FL,LCM,1:43.39,1:35.09,1:26.89,1:22.69,1:18.59,1:14.49
11,Girls,200 FL,LCM,3:46.89,3:30.69,3:14.49,3:06.39,2:58.29,2:50.19
11,Girls,200 IM,LCM,3:40.59,3:24.89,3:09.09,3:01.19,2:53.29,2:45.49
11,Girls,400 IM,LCM,7:55.89,7:21.99,6:47.99,6:30.99,6:13.99,5:56.99
11,Boys,50 FR,LCM,29.89,31.39,32.79,34.19,37.09,39.89
11,Boys,100 FR,LCM,1:05.89,1:08.99,1:12.09,1:15.29,1:21.49,1:27.79
11,Boys,200 FR,LCM,2:22.39,2:29.09,2:35.89,2:42.69,2:56.19,3:09.79
11,Boys,400 FR,LCM,5:01.29,5:15.69,5:29.99,5:44.39,6:13.09,6:41.79
11,Boys,800 FR,LCM,10:34.99,11:05.29,11:35.49,12:05.79,13:06.19,14:06.69
11,Boys,1500 FR,LCM,20:33.29,21:31.99,22:30.79,23:29.49,25:26.89,27:24.39
11,Boys,50 BK,LCM,34.89,36.69,38.49,40.29,43.99,47.59
11,Boys,100 BK,LCM,1:15.89,1:19.99,1:24.09,1:28.19,1:36.49,1:44.69
11,Boys,200 BK,LCM,2:42.69,2:50.49,2:58.19,3:05.99,3:21.49,3:36.99
11,Boys,50 BR,LCM,38.69,40.79,42.89,44.99,49.19,53.39
11,Boys,100 BR,LCM,1:25.89,1:30.29,1:34.79,1:39.29,1:48.19,1:57.19
11,Boys,200 BR,LCM,3:05.79,3:14.59,3:23.39,3:32.29,3:49.99,4:07.69
11,Boys,50 FL,LCM,32.59,34.39,36.19,37.99,41.59,45.29
11,Boys,100 FL,LCM,1:13.69,1:17.99,1:22.19,1:26.49,1:34.99,1:43.49
11,Boys,200 FL,LCM,2:45.99,2:53.89,3:01.79,3:09.69,3:25.49,3:41.29
11,Boys,200 IM,LCM,2:42.59,2:50.89,2:59.19,3:07.49,3:24.09,3:40.69
11,Boys,400 IM,LCM,5:49.99,6:06.59,6:23.29,6:39.99,7:13.29,7:46.59
12,Girls,50 FR,LCM,38.69,35.99,33.39,31.99,30.69,29.29
12,Girls,100 FR,LCM,1:25.69,1:19.59,1:13.49,1:10.39,1:07.29,1:04.29
12,Girls,200 FR,LCM,3:06.79,2:53.49,2:40.09,2:33.49,2:26.79,2:20.09
12,Girls,400 FR,LCM,6:32.89,6:04.79,5:36.79,5:22.79,5:08.69,4:54.69
12,Girls,800 FR,LCM,13:42.39,12:43.69,11:44.89,11:15.59,10:46.19,10:16.79
12,Girls,1500 FR,LCM,26:13.99,24:21.59,22:29.19,21:32.89,20:36.69,19:40.49
12,Girls,50 BK,LCM,44.89,41.69,38.49,36.89,35.29,33.69
12,Girls,100 BK,LCM,1:40.59,1:32.69,1:24.79,1:20.79,1:16.89,1:12.89
12,Girls,200 BK,LCM,3:28.19,3:13.29,2:58.39,2:50.99,2:43.59,2:36.09
12,Girls,50 BR,LCM,49.79,46.19,42.69,40.89,39.09,37.39
