Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
10,Girls,50 FR,SCM,44.09,39.89,35.59,34.19,32.79,31.29
10,Girls,100 FR,SCM,1:40.39,1:29.69,1:18.99,1:15.49,1:11.89,1:08.29
10,Girls,200 FR,SCM,3:43.99,3:19.49,2:54.99,2:46.79,2:38.59,2:30.39
10,Girls,400 FR,SCM,7:32.69,6:47.49,6:02.19,5:47.09,5:31.99,5:16.89
10,Girls,50 BK,SCM,53.69,47.79,41.89,39.99,37.99,36.09
10,Girls,100 BK,SCM,1:56.89,1:43.89,1:30.89,1:26.59,1:22.29,1:17.99
10,Girls,50 BR,SCM,1:00.29,53.79,47.29,45.09,42.99,40.79
10,Girls,100 BR,SCM,2:12.89,1:58.19,1:43.39,1:38.49,1:33.59,1:28.69
10,Girls,50 FL,SCM,53.49,47.19,40.89,38.79,36.69,34.59
10,Girls,100 FL,SCM,2:08.89,1:52.09,1:35.19,1:29.49,1:23.89,1:18.29
10,Girls,100 IM,SCM,1:55.99,1:43.69,1:31.29,1:27.19,1:23.09,1:18.99
10,Girls,200 IM,SCM,4:06.39,3:40.59,3:14.69,3:06.09,2:57.49,2:48.89
10,Boys,50 FR,SCM,30.49,31.89,33.19,34.49,38.39,42.39
10,Boys,100 FR,SCM,1:07.49,1:10.79,1:14.19,1:17.59,1:27.69,1:37.69
10,Boys,200 FR,SCM,2:26.69,2:33.69,2:40.69,2:47.59,3:08.59,3:29.49
10,Boys,400 FR,SCM,5:08.99,5:23.79,5:38.49,5:53.19,6:37.29,7:21.49
10,Boys,50 BK,SCM,35.79,37.79,39.69,41.69,47.69,53.59
10,Boys,100 BK,SCM,1:16.49,1:20.39,1:24.39,1:28.29,1:39.99,1:51.69
10,Boys,50 BR,SCM,40.29,42.39,44.49,46.49,52.79,59.09
10,Boys,100 BR,SCM,1:28.09,1:32.49,1:36.89,1:41.29,1:54.49,2:07.59
10,Boys,50 FL,SCM,34.09,35.99,37.89,39.79,45.59,51.39
10,Boys,100 FL,SCM,1:17.29,1:22.69,1:28.09,1:33.49,1:49.69,2:05.89
10,Boys,100 IM,SCM,1:17.19,1:20.89,1:24.59,1:28.19,1:39.29,1:50.29
10,Boys,200 IM,SCM,2:46.69,2:55.09,3:03.39,3:11.69,3:36.59,4:01.59
11,Girls,50 FR,SCM,39.09,36.39,33.69,32.39,30.99,29.69
11,Girls,100 FR,SCM,1:25.89,1:19.69,1:13.59,1:10.49,1:07.49,1:04.39
11,Girls,200 FR,SCM,3:06.89,2:53.49,2:40.19,2:33.49,2:26.89,2:20.19
11,Girls,400 FR,SCM,6:37.29,6:08.89,5:40.49,5:26.39,5:12.19,4:57.99
11,Girls,800 FR,SCM,13:46.39,12:47.39,11:48.39,11:18.89,10:49.39,10:19.79
11,Girls,1500 FR,SCM,26:35.29,24:41.39,22:47.39,21:50.49,20:53.49,19:56.49
11,Girls,50 BK,SCM,44.89,41.69,38.49,36.89,35.29,33.69
11,Girls,100 BK,SCM,1:40.19,1:32.29,1:24.39,1:20.49,1:16.49,1:12.59
11,Girls,200 BK,SCM,3:29.69,3:14.69,2:59.69,2:52.19,2:44.69,2:37.29
11,Girls,50 BR,SCM,50.29,46.69,43.09,41.29,39.49,37.69
11,Girls,100 BR,SCM,1:50.79,1:42.69,1:34.49,1:30.39,1:26.29,1:22.19
11,Girls,200 BR,SCM,3:57.99,3:40.99,3:23.99,3:15.49,3:06.99,2:58.49
11,Girls,50 FL,SCM,42.99,39.89,36.79,35.29,33.79,32.19
11,Girls,100 FL,SCM,1:40.29,1:32.29,1:24.29,1:20.29,1:16.29,1:12.29
11,Girls,200 FL,SCM,3:37.09,3:21.59,3:06.09,2:58.29,2:50.59,2:42.79
11,Girls,100 IM,SCM,1:37.99,1:30.99,1:23.99,1:20.49,1:16.99,1:13.49
11,Girls,200 IM,SCM,3:32.99,3:17.79,3:02.59,2:54.99,2:47.39,2:39.79
11,Girls,400 IM,SCM,7:35.39,7:02.89,6:30.39,6:14.09,5:57.79,5:41.59
11,Boys,50 FR,SCM,29.09,30.49,31.89,33.19,35.99,38.79
11,Boys,100 FR,SCM,1:02.99,1:05.99,1:08.99,1:11.99,1:17.99,1:23.99
11,Boys,200 FR,SCM,2:18.09,2:24.69,2:31.19,2:37.79,2:50.99,3:04.09
11,Boys,400 FR,SCM,4:52.89,5:06.79,5:20.69,5:34.69,6:02.59,6:30.49
11,Boys,800 FR,SCM,10:15.99,10:45.39,11:14.69,11:43.99,12:42.69,13:41.39
11,Boys,1500 FR,SCM,19:46.99,20:43.49,21:39.99,22:36.49,24:29.49,26:22.59
11,Boys,50 BK,SCM,33.39,35.09,36.89,38.59,42.09,45.59
11,Boys,100 BK,SCM,1:11.89,1:15.79,1:19.69,1:23.59,1:31.39,1:39.19
11,Boys,200 BK,SCM,2:35.49,2:42.89,2:50.29,2:57.69,3:12.49,3:27.29
11,Boys,50 BR,SCM,37.59,39.59,41.59,43.69,47.79,51.79
11,Boys,100 BR,SCM,1:21.19,1:25.39,1:29.69,1:33.89,1:42.39,1:50.79
