age_group,gender,distance,stroke,course,event_name,tags_time,bonus_time
13-14,Girls,50,Fr,LC,50 Fr,28.99,29.49
13-14,Girls,100,Fr,LC,100 Fr,1:01.89,1:02.39
13-14,Girls,200,Fr,LC,200 Fr,2:14.09,2:14.59
13-14,Girls,400,Fr,LC,400 Fr,4:42.19,4:43.39
13-14,Girls,800,Fr,LC,800 Fr,9:46.79,9:49.99
13-14,Girls,1500,Fr,LC,1500 Fr,18:42.79,18:47.49
13-14,Girls,100,Bk,LC,100 Bk,1:11.39,1:12.39
13-14,Girls,200,Bk,LC,200 Bk,2:32.59,2:35.69
13-14,Girls,100,Br,LC,100 Br,1:21.39,1:21.99
13-14,Girls,200,Br,LC,200 Br,2:54.79,2:57.19
13-14,Girls,100,Fly,LC,100 Fly,1:08.49,1:09.29
13-14,Girls,200,Fly,LC,200 Fly,2:34.99,2:37.99
13-14,Girls,200,IM,LC,200 IM,2:33.19,2:34.39
13-14,Girls,400,IM,LC,400 IM,5:23.89,5:26.39
13-14,Girls,200,FR,LC,200 FR,1:56.99,
13-14,Girls,400,FR,LC,400 FR,4:13.59,
13-14,Girls,800,FR,LC,800 FR,9:12.69,
13-14,Girls,200,MR,LC,200 MR,2:10.69,
13-14,Girls,400,MR,LC,400 MR,4:44.29,
11-12,Girls,50,Fr,LC,50 Fr,30.29,30.79
11-12,Girls,100,Fr,LC,100 Fr,1:05.79,1:06.79
11-12,Girls,200,Fr,LC,200 Fr,2:22.99,2:23.49
11-12,Girls,400,Fr,LC,400 Fr,5:01.39,5:03.39
11-12,Girls,50,Bk,LC,50 Bk,35.69,36.09
11-12,Girls,100,Bk,LC,100 Bk,1:15.69,1:16.69
11-12,Girls,200,Bk,LC,200 Bk,2:43.09,2:44.09
11-12,Girls,50,Br,LC,50 Br,40.29,40.79
11-12,Girls,100,Br,LC,100 Br,1:27.19,1:28.19
11-12,Girls,200,Br,LC,200 Br,3:07.19,3:08.29
11-12,Girls,50,Fly,LC,50 Fly,32.79,33.29
11-12,Girls,100,Fly,LC,100 Fly,1:13.49,1:14.49
11-12,Girls,200,Fly,LC,200 Fly,2:50.29,2:51.89
11-12,Girls,200,IM,LC,200 IM,2:42.49,2:43.99
11-12,Girls,200,FR,LC,200 FR,2:02.89,
11-12,Girls,400,FR,LC,400 FR,4:27.69,
11-12,Girls,200,MR,LC,200 MR,2:17.49,
11-12,Girls,400,MR,LC,400 MR,5:02.29,
10&U,Girls,50,Fr,LC,50 Fr,33.49,33.99
10&U,Girls,100,Fr,LC,100 Fr,1:13.29,1:14.79
10&U,Girls,200,Fr,LC,200 Fr,2:39.29,2:42.39
10&U,Girls,400,Fr,LC,400 Fr,5:40.59,5:43.89
10&U,Girls,50,Bk,LC,50 Bk,40.39,40.89
10&U,Girls,100,Bk,LC,100 Bk,1:25.49,1:26.79
10&U,Girls,50,Br,LC,50 Br,46.09,46.59
10&U,Girls,100,Br,LC,100 Br,1:39.39,1:41.09
10&U,Girls,50,Fly,LC,50 Fly,37.29,38.19
10&U,Girls,100,Fly,LC,100 Fly,1:27.09,1:29.49
10&U,Girls,200,IM,LC,200 IM,3:00.79,3:04.89
10&U,Girls,200,FR,LC,200 FR,2:19.59,
10&U,Girls,400,FR,LC,400 FR,5:10.79,
10&U,Girls,200,MR,LC,200 MR,2:39.49,
10&U,Boys,50,Fr,LC,50 Fr,33.69,34.19
10&U,Boys,100,Fr,LC,100 Fr,1:14.59,1:14.99
10&U,Boys,200,Fr,LC,200 Fr,2:40.99,2:44.49
10&U,Boys,400,Fr,LC,400 Fr,5:41.59,5:47.99
10&U,Boys,50,Bk,LC,50 Bk,39.99,40.49
10&U,Boys,100,Bk,LC,100 Bk,1:24.99,1:26.59
10&U,Boys,50,Br,LC,50 Br,46.89,47.39
10&U,Boys,100,Br,LC,100 Br,1:40.49,1:41.49
10&U,Boys,50,Fly,LC,50 Fly,37.39,37.89
10&U,Boys,100,Fly,LC,100 Fly,1:26.69,1:29.19
10&U,Boys,200,IM,LC,200 IM,3:01.89,3:05.79
10&U,Boys,200,FR,LC,200 FR,2:19.79,
10&U,Boys,400,FR,LC,400 FR,5:13.99,
10&U,Boys,200,MR,LC,200 MR,2:41.09,
11-12,Boys,50,Fr,LC,50 Fr,29.39,29.89
11-12,Boys,100,Fr,LC,100 Fr,1:04.29,1:05.29
11-12,Boys,200,Fr,LC,200 Fr,2:19.29,2:20.09
11-12,Boys,400,Fr,LC,400 Fr,4:55.99,4:58.49
