standard_type,age_group,age,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
single_age,,10,girls,50,fr,1,scy,39.89,36.09,32.19,30.89,29.69,28.39
single_age,,10,boys,50,fr,1,scy,38.29,34.79,31.19,29.99,28.79,27.59
single_age,,10,girls,100,fr,1,scy,90.89,81.19,71.49,68.29,65.09,61.89
single_age,,10,boys,100,fr,1,scy,88.49,79.29,70.19,67.19,64.09,61.09
single_age,,10,girls,200,fr,1,scy,202.79,180.59,158.39,150.99,143.59,136.19
single_age,,10,boys,200,fr,1,scy,189.59,170.69,151.69,145.39,139.09,132.79
single_age,,10,girls,500,fr,1,scy,517.39,465.69,413.89,396.69,379.39,362.19
single_age,,10,boys,500,fr,1,scy,504.49,454.09,403.59,386.79,369.99,353.19
single_age,,10,girls,50,bk,2,scy,48.59,43.29,37.99,36.19,34.39,32.59
single_age,,10,boys,50,bk,2,scy,48.49,43.09,37.79,35.99,34.19,32.39
single_age,,10,girls,100,bk,2,scy,105.79,93.99,82.29,78.39,74.49,70.59
single_age,,10,boys,100,bk,2,scy,101.09,90.49,79.89,76.29,72.79,69.29
single_age,,10,girls,50,br,3,scy,54.59,48.69,42.79,40.89,38.89,36.89
single_age,,10,boys,50,br,3,scy,53.49,47.79,42.09,40.19,38.29,36.39
single_age,,10,girls,100,br,3,scy,120.29,106.89,93.59,89.09,84.69,80.19
single_age,,10,boys,100,br,3,scy,115.49,103.59,91.69,87.69,83.69,79.69
single_age,,10,girls,50,fl,4,scy,48.39,42.69,36.99,35.09,33.19,31.29
single_age,,10,boys,50,fl,4,scy,46.49,41.29,36.09,34.29,32.59,30.79
single_age,,10,girls,100,fl,4,scy,116.69,101.39,86.09,80.99,75.99,70.89
single_age,,10,boys,100,fl,4,scy,113.89,99.29,84.59,79.79,74.89,69.99
single_age,,10,girls,100,im,5,scy,104.99,93.79,82.59,78.89,75.19,71.49
single_age,,10,boys,100,im,5,scy,99.79,89.79,79.89,76.49,73.19,69.89
single_age,,10,girls,200,im,5,scy,222.99,199.59,176.19,168.39,160.69,152.89
single_age,,10,boys,200,im,5,scy,218.59,195.99,173.49,165.89,158.39,150.89
single_age,,11,girls,50,fr,1,scy,35.39,32.99,30.49,29.29,28.09,26.79
single_age,,11,boys,50,fr,1,scy,35.09,32.59,30.09,28.79,27.59,26.29
single_age,,11,girls,100,fr,1,scy,77.69,72.19,66.59,63.79,61.09,58.29
single_age,,11,boys,100,fr,1,scy,76.09,70.59,65.19,62.49,59.79,57.09
single_age,,11,girls,200,fr,1,scy,169.09,157.09,144.99,138.89,132.89,126.89
single_age,,11,boys,200,fr,1,scy,166.59,154.69,142.79,136.89,130.89,124.99
single_age,,11,girls,500,fr,1,scy,453.99,421.59,389.19,372.99,356.79,340.49
single_age,,11,boys,500,fr,1,scy,446.19,414.39,382.49,366.59,350.59,334.69
single_age,,11,girls,1000,fr,1,scy,944.49,876.99,809.59,775.79,742.09,708.39
single_age,,11,boys,1000,fr,1,scy,938.69,871.69,804.59,771.09,737.59,703.99
single_age,,11,girls,1650,fr,1,scy,1604.99,1490.29,1375.69,1318.39,1261.09,1203.69
single_age,,11,boys,1650,fr,1,scy,1592.09,1478.39,1364.69,1307.79,1250.99,1194.09
single_age,,11,girls,50,bk,2,scy,40.59,37.69,34.79,33.39,31.89,30.49
single_age,,11,boys,50,bk,2,scy,41.19,38.09,34.89,33.39,31.79,30.19
single_age,,11,girls,100,bk,2,scy,90.69,83.59,76.39,72.79,69.29,65.69
single_age,,11,boys,100,bk,2,scy,89.79,82.69,75.59,72.09,68.59,64.99
single_age,,11,girls,200,bk,2,scy,189.69,176.19,162.59,155.89,149.09,142.29
single_age,,11,boys,200,bk,2,scy,187.59,174.19,160.79,154.09,147.39,140.69
single_age,,11,girls,50,br,3,scy,45.49,42.29,38.99,37.39,35.79,34.09
single_age,,11,boys,50,br,3,scy,46.89,43.19,39.49,37.69,35.79,33.99
single_age,,11,girls,100,br,3,scy,100.29,92.89,85.49,81.79,78.09,74.39
single_age,,11,boys,100,br,3,scy,100.29,92.59,84.99,81.19,77.29,73.49
single_age,,11,girls,200,br,3,scy,215.39,199.99,184.59,176.89,169.19,161.49
single_age,,11,boys,200,br,3,scy,214.19,198.89,183.59,175.99,168.29,160.69
single_age,,11,girls,50,fl,4,scy,38.89,36.09,33.39,31.99,30.59,29.19
single_age,,11,boys,50,fl,4,scy,40.09,36.89,33.69,32.09,30.49,28.89
single_age,,11,girls,100,fl,4,scy,90.79,83.49,76.29,72.59,68.99,65.39
single_age,,11,boys,100,fl,4,scy,90.49,82.99,75.59,71.89,68.19,64.49
single_age,,11,girls,200,fl,4,scy,196.49,182.39,168.39,161.39,154.39,147.39
single_age,,11,boys,200,fl,4,scy,191.79,178.09,164.39,157.49,150.69,143.79
single_age,,11,girls,100,im,5,scy,88.69,82.29,75.99,72.79,69.69,66.49
single_age,,11,boys,100,im,5,scy,88.09,81.69,75.29,72.09,68.89,65.69
single_age,,11,girls,200,im,5,scy,192.79,178.99,165.19,158.39,151.49,144.59
single_age,,11,boys,200,im,5,scy,192.69,178.19,163.69,156.49,149.29,141.99
single_age,,11,girls,400,im,5,scy,412.09,382.69,353.29,338.49,323.79,309.09
single_age,,11,boys,400,im,5,scy,401.49,372.79,344.19,329.79,315.49,301.19
single_age,,12,girls,50,fr,1,scy,34.09,31.69,29.39,28.19,26.99,25.79
single_age,,12,boys,50,fr,1,scy,32.79,30.49,28.09,26.99,25.79,24.59
single_age,,12,girls,100,fr,1,scy,74.69,69.39,64.09,61.39,58.69,56.09
